run,workload,mitigation,cv_pct,peak_pct,runtime_pct,energy_pct
1,aisim2,powersmoother,11.85,-0.34,0.06,5.85
1,aisim2,rampc,-63.7,-6.81,126.12,208.17
1,aisim2,usagegov,25.68,-2.6,0.03,32.37
1,hpl,powersmoother,-8.3,-0.52,10.19,14.0
1,hpl,rampc,-78.63,-3.44,91.18,97.54
1,hpl,usagegov,-14.94,-0.89,0.43,3.25
1,step,powersmoother,4.26,-0.32,0.01,4.64
1,step,rampc,-66.19,-5.6,138.07,173.12
1,step,usagegov,2.36,-0.24,-0.0,2.42
2,aisim2,powersmoother,5.07,-0.62,-0.05,5.06
2,aisim2,rampc,-64.98,-7.12,168.0,253.22
2,aisim2,usagegov,63.29,-1.17,-0.0,25.74
2,hpl,powersmoother,-7.42,-0.22,10.02,12.34
2,hpl,rampc,-76.69,-3.23,81.04,84.81
2,hpl,usagegov,-13.14,-0.54,0.47,2.74
2,step,powersmoother,-2.84,-0.32,0.03,2.97
2,step,rampc,-66.67,-5.61,139.54,173.83
2,step,usagegov,0.24,-0.31,0.04,2.06
3,aisim2,powersmoother,8.05,-0.72,-0.02,5.66
3,aisim2,rampc,-64.39,-7.01,126.02,207.79
3,aisim2,usagegov,57.56,-1.25,-0.01,26.34
3,hpl,powersmoother,-2.19,-0.14,11.37,12.44
3,hpl,rampc,-71.29,-1.41,89.21,84.41
3,hpl,usagegov,-1.46,-0.06,11.65,9.83
3,step,powersmoother,-1.63,-0.53,0.02,4.77
3,step,rampc,-66.9,-5.67,138.06,173.26
3,step,usagegov,0.93,-0.42,-0.03,2.84
4,aisim2,powersmoother,3.0,-0.14,-0.05,4.02
4,aisim2,rampc,-63.25,-6.63,124.9,205.89
4,aisim2,usagegov,67.75,-0.77,-0.04,27.08
4,hpl,powersmoother,2.19,-0.63,10.12,14.33
4,hpl,rampc,-77.24,-3.22,92.83,96.75
4,hpl,usagegov,-5.25,-0.42,0.38,1.86
4,step,powersmoother,-4.91,-0.42,0.04,3.29
4,step,rampc,-66.12,-5.7,137.72,173.18
4,step,usagegov,1.64,-0.4,0.03,2.47
